time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-25T09:47:42.840Z,19.3425,-155.305166666667,26.77,2.66,ml,38,36,,0.12,hv,hv72669377,2021-08-25T11:06:34.740Z,"13 km SW of Volcano, Hawaii",earthquake,0.5,0.41,0.175904828024112,18,reviewed,hv,hv
2021-08-25T09:35:56.110Z,19.3886666666667,-155.275166666667,1.54,2.51,ml,46,55,,0.12,hv,hv72669367,2021-08-25T09:51:43.520Z,"7 km SW of Volcano, Hawaii",earthquake,0.17,0.11,0.216275633396986,17,reviewed,hv,hv
2021-08-25T07:15:09.193Z,-12.4713,-77.4841,27.4,4.2,mb,,186,0.79,0.92,us,us7000f3jm,2021-08-26T00:11:03.939Z,"near the coast of central Peru",earthquake,4.6,9.8,0.199,7,reviewed,us,us
2021-08-25T07:14:02.460Z,36.1057,140.1731,44.85,4.3,mb,,144,1.644,0.95,us,us7000f3jw,2021-08-25T20:10:20.119Z,"6 km N of Naka, Japan",earthquake,3.9,9.3,0.133,16,reviewed,us,us
2021-08-25T06:38:34.175Z,-26.3264,-177.6475,179.09,4.5,mb,,107,9.423,0.64,us,us7000f3ja,2021-08-25T08:42:54.040Z,"south of the Fiji Islands",earthquake,12.9,7.3,0.102,28,reviewed,us,us
2021-08-25T05:58:07.589Z,-29.687,-177.6416,55.11,5.4,mww,,57,13.699,1.61,us,us7000f3iu,2021-08-26T06:00:57.387Z,"Kermadec Islands, New Zealand",earthquake,10.7,4.7,0.062,25,reviewed,us,us
2021-08-25T05:48:38.640Z,19.3948333333333,-155.279833333333,1.45,2.53,ml,28,49,,0.1,hv,hv72668762,2021-08-25T06:14:52.100Z,"7 km SW of Volcano, Hawaii",earthquake,0.15,0.11,0.1545402318378,10,reviewed,hv,hv
2021-08-25T05:34:33.880Z,19.3881666666667,-155.276166666667,1.79,2.89,ml,49,54,,0.11,hv,hv72668717,2021-08-25T06:41:07.040Z,"7 km SW of Volcano, Hawaii",earthquake,0.14,0.13,0.230977173373979,28,reviewed,hv,hv
2021-08-25T05:30:44.760Z,19.3996658325195,-155.586502075195,7.8600001335144,2.59,ml,13,88,,0.230000004,hv,hv72668692,2021-08-25T05:36:14.500Z,"24 km NNW of P?hala, Hawaii",earthquake,0.7,1.88,0.3,3,automatic,hv,hv
2021-08-25T04:01:10.993Z,-5.754,125.1937,586.21,4.5,mb,,77,4.08,0.54,us,us7000f3hs,2021-08-25T21:14:05.040Z,"Banda Sea",earthquake,13.6,9.7,0.118,21,reviewed,us,us
